element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
243,3,8,1,True,2026-08-22T14:00:00Z,2,0,1,False,1,0,0,0,0,0,0,0,0,0,0,0,7,5.0,0.3,17.0,2.2,0,2,1,3,0,0.02,0.00,0.02,0.04,50,0,8329,0,0,243
244,3,8,8,True,2026-08-22T14:00:00Z,2,0,1,False,90,0,1,1,0,0,0,0,0,0,0,0,25,28.8,14.7,4.0,4.8,3,11,2,16,1,0.00,0.04,0.04,1.96,50,0,6793,0,0,244
245,3,8,0,True,2026-08-22T14:00:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,3592,0,0,245
246,3,8,3,True,2026-08-22T14:00:00Z,2,0,1,False,90,0,0,1,0,0,0,0,0,0,0,0,12,13.8,13.0,2.0,2.9,2,5,2,9,1,0.00,0.06,0.06,1.96,50,0,5179,0,0,246
247,3,8,3,True,2026-08-22T14:00:00Z,2,0,1,False,78,0,0,1,0,0,0,0,0,0,0,0,16,8.6,12.2,5.0,2.6,1,4,2,7,1,0.01,0.01,0.02,1.62,55,0,24410,0,0,247
248,3,8,1,True,2026-08-22T14:00:00Z,2,0,1,False,11,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,0,0,0,0,0,0.05,0.00,0.05,0.34,55,0,249740,0,0,248
249,3,8,8,True,2026-08-22T14:00:00Z,2,0,1,False,78,1,0,1,0,0,0,0,0,0,0,2,37,38.0,19.0,41.0,9.8,0,2,1,3,1,0.45,0.09,0.54,1.62,55,0,117327,0,0,249
250,10,6,2,True,2026-08-24T19:00:00Z,2,3,1,False,90,0,0,0,3,0,0,0,0,0,3,0,11,29.6,0.0,0.0,3.0,1,9,0,0,1,0.00,0.00,0.00,2.24,45,0,272035,0,0,250
251,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,107540,0,0,251
252,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,13569,0,0,252
253,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,3342,0,0,253
254,10,6,1,True,2026-08-24T19:00:00Z,2,3,1,False,81,0,0,0,3,0,0,0,0,0,0,0,4,21.6,25.2,3.0,5.0,4,5,3,7,1,0.13,0.04,0.17,2.21,45,0,148513,0,0,254
255,10,6,3,True,2026-08-24T19:00:00Z,2,3,1,False,90,0,0,0,3,0,0,0,0,0,0,0,7,32.8,21.3,0.0,5.4,9,3,1,10,1,0.00,0.03,0.03,2.24,45,0,1787,0,0,255
256,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,24681,0,0,256
257,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,90,0,0,0,3,0,0,0,1,0,0,0,1,13.8,3.8,2.0,2.0,3,4,1,4,1,0.02,0.02,0.04,2.24,45,0,64737,0,0,257
258,10,6,6,True,2026-08-24T19:00:00Z,2,3,1,False,90,0,2,0,3,0,0,0,1,0,0,0,21,38.0,27.8,23.0,8.9,5,4,1,6,1,0.09,0.18,0.27,2.24,45,0,26346,0,0,258
261,10,6,2,True,2026-08-24T19:00:00Z,2,3,1,False,90,0,0,0,3,0,0,0,0,0,0,0,17,12.4,11.3,0.0,2.4,3,6,1,10,1,0.00,0.04,0.04,2.24,55,0,88413,0,0,261
262,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,35036,0,0,262
263,10,6,1,True,2026-08-24T19:00:00Z,2,3,1,False,17,0,0,0,0,0,0,0,0,0,0,0,2,5.2,1.9,0.0,0.7,0,1,2,3,0,0.00,0.01,0.01,0.03,55,0,5144,0,0,263
264,10,6,2,True,2026-08-24T19:00:00Z,2,3,1,False,66,0,0,0,3,0,0,0,0,0,0,0,10,9.8,13.8,6.0,3.0,1,2,3,6,1,0.00,0.26,0.26,2.21,55,0,26829,0,0,264
265,10,6,2,True,2026-08-24T19:00:00Z,2,3,1,False,72,0,0,0,3,0,0,0,0,0,0,0,14,13.6,23.1,7.0,4.4,1,2,1,4,1,0.03,0.03,0.06,2.21,50,0,38470,0,0,265
266,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,464,0,0,266
268,10,6,7,True,2026-08-24T19:00:00Z,2,3,1,False,90,1,0,0,3,0,0,0,0,0,0,0,34,41.6,15.6,41.0,9.8,2,4,2,8,1,0.17,0.04,0.21,2.24,55,0,14215,0,0,268
269,10,6,1,True,2026-08-24T19:00:00Z,2,3,1,False,17,0,0,0,0,0,0,0,0,0,0,0,7,6.6,0.5,19.0,2.6,1,1,0,1,0,0.03,0.00,0.03,0.03,45,0,39784,0,0,269
270,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,139875,0,0,270
271,10,6,1,True,2026-08-24T19:00:00Z,2,3,1,False,8,0,0,0,0,0,0,0,0,0,0,0,6,6.0,11.5,7.0,2.5,1,0,0,1,0,0.02,0.00,0.02,0.03,55,0,52452,0,0,271
272,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,669004,0,0,272
569,10,6,6,True,2026-08-24T19:00:00Z,2,3,1,False,90,1,0,0,3,0,0,0,0,0,0,0,33,37.2,4.3,40.0,8.2,0,1,1,2,1,0.73,0.01,0.74,2.24,60,0,180799,0,0,569
570,10,6,2,True,2026-08-24T19:00:00Z,2,3,1,False,72,0,0,0,3,0,0,0,0,0,0,0,10,2.8,7.3,8.0,1.8,0,2,2,4,1,0.16,0.01,0.17,2.21,55,0,18267,0,0,570
580,10,6,1,True,2026-08-24T19:00:00Z,2,3,1,False,23,0,0,0,0,0,0,0,0,0,0,0,5,3.4,1.3,0.0,0.5,0,2,1,3,0,0.00,0.00,0.00,0.03,50,0,8110,0,0,580
610,10,6,0,True,2026-08-24T19:00:00Z,2,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,0,0,0,610
273,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,138196,0,0,273
274,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,11096,0,0,274
277,4,16,8,True,2026-08-22T11:30:00Z,2,0,1,False,90,0,0,1,0,0,0,0,0,0,0,0,27,43.4,0.1,2.0,4.6,20,3,1,21,1,0.00,0.00,0.00,1.83,40,0,134746,0,0,277
278,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,12660,0,0,278
279,4,16,14,True,2026-08-22T11:30:00Z,2,0,1,False,63,1,0,1,0,0,0,0,0,0,0,2,39,44.2,0.2,35.0,7.9,7,3,0,7,1,0.52,0.00,0.52,0.86,40,0,83256,0,0,279
280,4,16,6,True,2026-08-22T11:30:00Z,2,0,1,False,69,0,0,1,0,0,0,0,0,0,0,0,23,5.8,11.3,0.0,1.7,1,3,1,2,1,0.00,0.01,0.01,1.16,40,0,59278,0,0,280
281,4,16,1,True,2026-08-22T11:30:00Z,2,0,1,False,20,0,0,0,0,0,0,0,0,0,0,0,4,2.2,0.0,1.0,0.3,2,2,1,3,0,0.05,0.00,0.05,0.67,40,0,1668,0,0,281
282,4,16,6,True,2026-08-22T11:30:00Z,2,0,1,False,84,0,0,1,0,0,0,0,0,0,0,0,24,13.8,18.8,4.0,3.7,5,1,1,6,1,0.02,0.07,0.09,1.76,40,0,67208,0,0,282
283,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,1251,0,0,283
284,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,7616,0,0,284
285,4,16,1,True,2026-08-22T11:30:00Z,2,0,1,False,26,0,0,0,0,0,0,0,0,0,0,0,3,4.2,0.0,0.0,0.4,2,1,0,2,0,0.00,0.00,0.00,0.96,40,0,8697,0,0,285
286,4,16,3,True,2026-08-22T11:30:00Z,2,0,1,False,90,0,0,1,0,0,0,0,0,0,0,0,8,10.6,2.2,7.0,2.0,3,3,4,10,1,0.05,0.03,0.08,1.83,50,0,40446,0,0,286
287,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,19,0,0,0,0,0,0,0,1,0,0,0,2,2.0,0.3,2.0,0.4,1,1,1,3,0,0.00,0.00,0.00,0.67,50,0,6086,0,0,287
288,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,35457,0,0,288
289,4,16,2,True,2026-08-22T11:30:00Z,2,0,1,False,90,0,0,1,0,0,0,0,1,0,0,0,9,19.0,2.4,0.0,2.1,4,1,4,9,1,0.00,0.00,0.00,1.83,45,0,57929,0,0,289
290,4,16,6,True,2026-08-22T11:30:00Z,2,0,1,False,90,0,1,1,0,0,0,0,0,0,0,0,20,18.4,19.3,0.0,3.8,0,2,1,3,1,0.00,0.44,0.44,1.83,45,0,272889,0,0,290
291,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,600,0,0,291
292,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,1546,0,0,292
294,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,10995,0,0,294
295,4,16,5,True,2026-08-22T11:30:00Z,2,0,1,False,90,0,1,1,0,0,0,0,0,0,0,0,21,17.2,21.1,52.0,9.0,3,2,0,5,1,0.16,0.01,0.17,1.83,55,0,113765,0,0,295
296,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,3400,0,0,296
297,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,2774,0,0,297
340,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,1365,0,0,340
556,4,16,1,True,2026-08-22T11:30:00Z,2,0,1,False,5,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.0,0.0,0.0,0,1,0,0,0,0.00,0.00,0.00,0.07,40,0,218902,0,0,556
563,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,2175,0,0,563
572,4,16,10,True,2026-08-22T11:30:00Z,2,0,1,False,90,0,0,1,0,0,0,0,0,0,5,3,41,34.6,0.0,0.0,3.5,0,22,0,0,1,0.00,0.00,0.00,1.83,45,0,48305,0,0,572
574,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,7500,0,0,574
576,4,16,3,True,2026-08-22T11:30:00Z,2,0,1,False,70,0,0,1,0,0,0,0,0,0,0,0,11,8.4,4.8,0.0,1.3,1,2,3,6,1,0.00,0.03,0.03,1.16,50,0,6733,0,0,576
585,4,16,1,True,2026-08-22T11:30:00Z,2,0,1,False,26,0,0,0,0,0,0,0,0,0,0,0,4,8.0,0.0,0.0,0.8,4,0,0,4,0,0.00,0.00,0.00,0.96,40,0,53978,0,0,585
586,4,16,15,True,2026-08-22T11:30:00Z,2,0,1,False,63,1,0,1,0,0,0,0,0,0,0,1,35,51.8,0.6,33.0,8.5,13,2,0,13,1,0.28,0.00,0.28,0.86,40,0,92688,0,0,586
589,4,16,0,True,2026-08-22T11:30:00Z,2,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,2352,0,0,589
259,5,20,2,True,2026-08-22T14:00:00Z,2,1,1,False,90,0,0,0,1,0,0,0,0,0,0,0,7,7.2,0.8,2.0,1.0,4,6,1,5,1,0.00,0.01,0.01,0.66,40,0,1668644,0,0,259
267,5,20,5,True,2026-08-22T14:00:00Z,2,1,1,False,90,0,1,0,1,0,0,0,0,0,0,0,22,23.4,14.8,2.0,4.0,2,3,1,6,1,0.00,0.02,0.02,0.66,50,0,10816,0,0,267
300,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,47085,0,0,300
301,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,426453,0,0,301
302,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,40566,0,0,302
303,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,57775,0,0,303
304,5,20,4,True,2026-08-22T14:00:00Z,2,1,1,False,90,0,0,0,1,0,0,0,0,0,0,0,16,48.0,24.5,2.0,7.5,16,6,2,18,1,0.00,0.16,0.16,0.66,40,0,313565,0,0,304
305,5,20,2,True,2026-08-22T14:00:00Z,2,1,1,False,90,0,0,0,1,0,0,0,0,0,0,0,10,15.2,2.3,0.0,1.8,7,4,0,7,1,0.00,0.01,0.01,0.66,40,0,479363,0,0,305
306,5,20,2,True,2026-08-22T14:00:00Z,2,1,1,False,90,0,0,0,1,0,0,0,0,0,0,0,12,16.4,1.3,0.0,1.8,4,1,3,7,1,0.00,0.00,0.00,0.66,40,0,134129,0,0,306
307,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,10016,0,0,307
308,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,56130,0,0,308
309,5,20,4,True,2026-08-22T14:00:00Z,2,1,1,False,79,0,0,0,1,0,0,0,0,0,0,0,26,13.0,7.3,4.0,2.4,4,6,2,12,1,0.03,0.03,0.06,0.63,50,0,11544,0,0,309
310,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,430,0,0,310
312,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,4505,0,0,312
313,5,20,7,True,2026-08-22T14:00:00Z,2,1,1,False,19,1,0,0,0,0,0,0,0,0,0,1,27,33.6,0.6,18.0,5.2,0,1,1,2,0,0.10,0.00,0.10,0.03,55,0,24135,0,0,313
314,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,1539,0,0,314
315,5,20,2,True,2026-08-22T14:00:00Z,2,1,1,False,65,0,0,0,1,0,0,0,0,0,0,0,22,18.6,28.4,8.0,5.5,1,2,4,7,1,0.00,0.41,0.41,0.63,55,0,21235,0,0,315
316,5,20,9,True,2026-08-22T14:00:00Z,2,1,1,False,65,1,0,0,1,0,0,0,0,0,0,3,41,45.6,26.3,40.0,11.2,1,1,1,3,1,0.82,0.06,0.88,0.63,55,0,33590,0,0,316
318,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,14821,0,0,318
320,5,20,1,True,2026-08-22T14:00:00Z,2,1,1,False,24,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.0,2.0,0.3,0,2,1,3,0,0.00,0.00,0.00,0.03,50,0,47871,0,0,320
321,5,20,1,True,2026-08-22T14:00:00Z,2,1,1,False,10,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.03,45,0,199675,0,0,321
322,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,13332,0,0,322
323,5,20,1,True,2026-08-22T14:00:00Z,2,1,1,False,24,0,0,0,0,0,0,0,0,0,0,0,4,1.2,1.3,0.0,0.3,0,2,1,3,0,0.00,0.00,0.00,0.03,45,0,130440,0,0,323
324,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,4850,0,0,324
562,5,20,2,True,2026-08-22T14:00:00Z,2,1,1,False,79,0,0,0,1,0,0,0,0,0,0,0,7,12.6,1.4,7.0,2.1,3,2,4,9,1,0.61,0.00,0.61,0.63,55,0,37656,0,0,562
564,5,20,2,True,2026-08-22T14:00:00Z,2,1,1,False,90,0,0,0,1,0,0,0,0,0,2,0,12,14.4,0.0,0.0,1.4,1,10,0,0,1,0.00,0.00,0.00,0.66,45,0,57252,0,0,564
571,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,12850,0,0,571
591,5,20,5,True,2026-08-22T14:00:00Z,2,1,1,False,70,0,1,0,1,0,0,0,0,0,0,0,24,21.6,14.0,18.0,5.4,2,5,1,8,1,0.23,0.31,0.54,0.63,55,0,24595,0,0,591
592,5,20,1,True,2026-08-22T14:00:00Z,2,1,1,False,10,0,0,0,0,0,0,0,0,0,0,0,4,5.2,10.0,0.0,1.5,2,0,0,2,0,0.00,0.00,0.00,0.03,40,0,86218,0,0,592
602,5,20,0,True,2026-08-22T14:00:00Z,2,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,0,0,0,602
260,6,18,3,False,2026-08-22T14:00:00Z,0,1,1,False,65,0,0,1,0,0,0,0,0,0,0,0,8,6.2,15.3,4.0,2.6,0,0,2,2,1,0.00,0.02,0.02,0.53,65,0,577649,0,0,260
326,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,52897,0,0,326
327,6,18,10,False,2026-08-22T14:00:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,0,2,28,23.6,0.4,15.0,3.9,11,5,1,12,1,0.11,0.00,0.11,0.66,50,0,27043,0,0,327
329,6,18,6,False,2026-08-22T14:00:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,0,0,21,14.4,14.4,5.0,3.4,6,1,1,7,1,0.03,0.06,0.09,0.66,45,0,330772,0,0,329
330,6,18,6,False,2026-08-22T14:00:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,0,0,24,7.0,1.1,0.0,0.8,2,3,1,3,1,0.00,0.00,0.00,0.66,45,0,45674,0,0,330
331,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,5099,0,0,331
332,6,18,10,False,2026-08-22T14:00:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,0,2,28,24.6,2.3,2.0,2.9,6,4,6,12,1,0.00,0.01,0.01,0.66,45,0,52732,0,0,332
334,6,18,6,False,2026-08-22T14:00:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,0,0,25,15.6,0.6,17.0,3.3,7,1,0,7,1,0.09,0.00,0.09,0.66,50,0,306283,0,0,334
335,6,18,13,False,2026-08-22T14:00:00Z,0,1,1,False,90,1,0,1,0,0,0,0,0,0,0,3,37,47.8,2.3,16.0,6.6,8,5,3,16,1,0.10,0.05,0.15,0.66,60,0,80326,0,0,335
336,6,18,1,False,2026-08-22T14:00:00Z,0,1,1,False,24,0,0,0,0,0,0,0,0,0,0,0,10,10.0,14.0,4.0,2.8,1,2,2,5,0,0.00,0.16,0.16,0.13,60,0,45369,0,0,336
337,6,18,3,False,2026-08-22T14:00:00Z,0,1,1,False,81,0,0,1,0,0,0,0,0,0,0,0,16,8.0,1.1,7.0,1.6,0,6,1,7,1,0.01,0.01,0.02,0.58,55,0,87156,0,0,337
338,6,18,5,False,2026-08-22T14:00:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,0,0,18,18.6,23.3,0.0,4.2,6,5,2,13,1,0.00,0.04,0.04,0.66,55,0,132659,0,0,338
339,6,18,1,False,2026-08-22T14:00:00Z,0,1,1,False,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.07,50,0,12582,0,0,339
341,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,2172,0,0,341
343,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,11272,0,0,343
344,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,461,0,0,344
345,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,23052,0,0,345
346,6,18,1,False,2026-08-22T14:00:00Z,0,1,1,False,90,0,0,1,0,0,0,0,1,0,0,0,-2,0.0,0.8,11.0,0.7,0,2,0,2,1,0.13,0.00,0.13,0.66,60,0,2823371,0,0,346
347,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,53564,0,0,347
349,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,5936,0,0,349
385,6,18,9,False,2026-08-22T14:00:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,3,2,28,19.4,0.0,0.0,1.9,0,9,0,0,1,0.00,0.00,0.00,0.66,50,0,265439,0,0,385
598,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,1842,0,0,598
603,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,0,0,0,603
604,6,18,0,False,2026-08-22T14:00:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,0,0,0,604
350,9,17,2,False,2026-08-23T15:30:00Z,2,2,1,False,90,0,0,0,2,0,0,0,0,0,3,0,7,17.8,0.0,0.0,1.8,2,6,0,0,1,0.00,0.00,0.00,1.58,55,0,302846,0,0,350
351,9,17,0,False,2026-08-23T15:30:00Z,2,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,13503,0,0,351
352,9,17,0,False,2026-08-23T15:30:00Z,2,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,97477,0,0,352
354,9,17,0,False,2026-08-23T15:30:00Z,2,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,0,1351,0,0,354
